4,True,False,0.01,OGGZUZ,-0.19781,0,0,data,evo
2,True,False,0.01,HBJECU,0.33564,0,1,data,evo
3,True,False,0.01,OENQIX,-0.351202,0,2,data,evo
2,True,False,0.01,INIALK,-0.0932693,0,3,data,evo
1,True,False,0.01,FGKXEL,-0.15124,0,4,data,evo
3,True,False,0.01,KJMOZC,-0.23852,1,0,data,evo
3,True,False,0.01,OOMUXS,0.0206258,1,1,data,evo
4,True,False,0.01,MIWRLQ,0.249153,1,2,data,evo
3,True,False,0.01,PZCLWY,-0.177162,1,3,data,evo
2,True,False,0.01,MWCTXY,-0.111143,1,4,data,evo
5,True,False,0.01,XBVFNI,-0.102903,2,0,data,evo
2,True,False,0.01,OPQCLS,0.0331069,2,1,data,evo
1,True,False,0.01,EZECEP,-0.295168,2,2,data,evo
1,True,False,0.01,LYGDVQ,0.331307,2,3,data,evo
1,True,False,0.01,YXBIPE,-0.3309,2,4,data,evo
5,True,False,0.01,KRSPWJ,0.405958,3,0,data,evo
3,True,False,0.01,KNJIHO,-0.291139,3,1,data,evo
4,True,False,0.01,OGLBUC,0.342608,3,2,data,evo
5,True,False,0.01,VSGYEU,0.300831,3,3,data,evo
5,True,False,0.01,JUCWXT,0.336156,3,4,data,evo
2,True,False,0.01,XDYRFL,-0.00211418,4,0,data,evo
5,True,False,0.01,OKYWVJ,0.268268,4,1,data,evo
2,True,False,0.01,QYXOOH,-0.280565,4,2,data,evo
3,True,False,0.01,HHYVFA,0.0762346,4,3,data,evo
5,True,False,0.01,ZNWGZF,0.360736,4,4,data,evo
3,True,False,0.01,JYMVQF,0.00822005,5,0,data,evo
4,True,False,0.01,XKNJRI,0.0546046,5,1,data,evo
1,True,False,0.01,XPPXTE,0.101682,5,2,data,evo
2,True,False,0.01,TTIUIW,-0.0891287,5,3,data,evo
1,True,False,0.01,IARLFR,0.219824,5,4,data,evo
3,True,False,0.01,EPCINR,0.0129333,6,0,data,evo
3,True,False,0.01,OKMMSR,0.40228,6,1,data,evo
5,True,False,0.01,LTAYMA,0.018895,6,2,data,evo
1,True,False,0.01,SWTMRM,0.364494,6,3,data,evo
1,True,False,0.01,YXJTKH,-0.116357,6,4,data,evo
1,True,False,0.01,SFTLML,0.121728,7,0,data,evo
1,True,False,0.01,JQSIGX,-0.207384,7,1,data,evo
4,True,False,0.01,IVDSPJ,-0.203226,7,2,data,evo
2,True,False,0.01,QSUSDT,-0.012156,7,3,data,evo
3,True,False,0.01,HZPRJM,-0.318358,7,4,data,evo
5,True,False,0.01,JSZOHJ,-0.216349,8,0,data,evo
3,True,False,0.01,JWSHFC,-0.0090445,8,1,data,evo
5,True,False,0.01,LCREKH,0.0577483,8,2,data,evo
5,True,False,0.01,ZTMIBH,0.0161977,8,3,data,evo
3,True,False,0.01,KZJAPJ,-0.309234,8,4,data,evo
4,True,False,0.01,ESRLSY,-0.355496,9,0,data,evo
2,True,False,0.01,NFTWVV,0.274904,9,1,data,evo
5,True,False,0.01,GVKOMX,0.37589,9,2,data,evo
3,True,False,0.01,ATSKNQ,-0.0893435,9,3,data,evo
2,True,False,0.01,FIXIFJ,-0.198976,9,4,data,evo
5,True,False,0.01,UAAQOG,0.231674,10,0,data,evo
2,True,False,0.01,JRXAAC,-0.0273423,10,1,data,evo
5,True,False,0.01,JHVCEX,0.272196,10,2,data,evo
4,True,False,0.01,OPTCUY,0.367245,10,3,data,evo
2,True,False,0.01,AQJYJP,-0.399166,10,4,data,evo
